,0
0,2.8311990263318876e-07
1,7.469687375305512e-07
2,7.865171482990263e-07
3,9.467480026614794e-07
4,1.1070969776483253e-06
5,1.7863324046629714e-06
6,2.0061047507624608e-06
7,2.032772727034171e-06
8,2.0791353563254233e-06
9,3.056743480556179e-06
