,0
0,9.467480026614794e-07
1,1.7863324046629714e-06
2,3.056743480556179e-06
3,3.2055847896117484e-06
4,4.318750598031329e-06
5,7.853421266190708e-06
6,1.4133184777165297e-05
7,3.8229762139962986e-05
8,4.230026024742983e-05
9,4.461375647224486e-05
