,0
0,7.853421266190708e-06
1,0.013773525133728981
2,9.467480026614794e-07
3,0.00012971328396815807
4,3.8229762139962986e-05
5,3.2055847896117484e-06
6,0.014215642586350441
7,0.08830910176038742
8,4.318750598031329e-06
9,6.281749665504321e-05
