,0
0,2.8311990263318876e-07
1,4.521020287029387e-07
2,5.783512619927933e-07
3,7.094325837897486e-07
4,7.469687375305512e-07
5,7.865171482990263e-07
6,9.467480026614794e-07
7,1.1070969776483253e-06
8,1.7863324046629714e-06
9,2.0061047507624608e-06
